Date,Daily infected cases in Japan
2020-07-27,583
2020-07-28,971
2020-07-29,1245
2020-07-30,1305
2020-07-31,1575
2020-08-01,1537
2020-08-02,1325
2020-08-03,941
2020-08-04,1240
2020-08-05,1344
2020-08-06,1479
2020-08-07,1597
2020-08-08,1521
2020-08-09,1485
2020-08-10,829
2020-08-11,691
2020-08-12,969
2020-08-13,1175
2020-08-14,1355
2020-08-15,1233
2020-08-16,1015
2020-08-17,630
2020-08-18,903
2020-08-19,1078
2020-08-20,1176
2020-08-21,1035
2020-08-22,985
2020-08-23,737
2020-08-24,491
2020-08-25,709
2020-08-26,893
2020-08-27,870
2020-08-28,869
2020-08-29,841
2020-08-30,598
2020-08-31,430
2020-09-01,624
2020-09-02,585
2020-09-03,654
2020-09-04,582
2020-09-05,598
2020-09-06,447
2020-09-07,285
2020-09-08,510
2020-09-09,507
2020-09-10,709
2020-09-11,637
2020-09-12,639
2020-09-13,438
2020-09-14,262
2020-09-15,530
2020-09-16,543
2020-09-17,478
2020-09-18,569
2020-09-19,592
2020-09-20,469
2020-09-21,306
2020-09-22,321
2020-09-23,216
2020-09-24,475
2020-09-25,567
2020-09-26,634
2020-09-27,478
2020-09-28,294
2020-09-29,527
2020-09-30,569
2020-10-01,619
2020-10-02,537
2020-10-03,562
2020-10-04,394
2020-10-05,269
2020-10-06,495
2020-10-07,502
2020-10-08,623
2020-10-09,594
2020-10-10,666
2020-10-11,431
2020-10-12,272
2020-10-13,491
2020-10-14,550
2020-10-15,703
2020-10-16,633
2020-10-17,611
2020-10-18,422
2020-10-19,313
2020-10-20,475
2020-10-21,611
2020-10-22,609
2020-10-23,742
2020-10-24,712
2020-10-25,486
2020-10-26,401
2020-10-27,646
2020-10-28,724
2020-10-29,803
2020-10-30,767
2020-10-31,866
2020-11-01,603
2020-11-02,480
2020-11-03,860
2020-11-04,606
2020-11-05,1046
2020-11-06,1137
2020-11-07,1301
2020-11-08,934
2020-11-09,770
2020-11-10,1276
2020-11-11,1540
2020-11-12,1624
2020-11-13,1703
2020-11-14,1721
2020-11-15,1428
2020-11-16,949
2020-11-17,1685
2020-11-18,2173
2020-11-19,2382
2020-11-20,2425
2020-11-21,2570
2020-11-22,2146
2020-11-23,1513
2020-11-24,1219
2020-11-25,1925
2020-11-26,2494
2020-11-27,2510
2020-11-28,2667
2020-11-29,2046
2020-11-30,1425
2020-12-01,2014
2020-12-02,2419
2020-12-03,2505
2020-12-04,2435
2020-12-05,2496
2020-12-06,2010
2020-12-07,1502
2020-12-08,2166
2020-12-09,2801
2020-12-10,2966
2020-12-11,2795
2020-12-12,3010
2020-12-13,2375
2020-12-14,1681
2020-12-15,2400
2020-12-16,2990
2020-12-17,3206
2020-12-18,2832
2020-12-19,3040
2020-12-20,2398
2020-12-21,1791
2020-12-22,2674
2020-12-23,3270
2020-12-24,3797
2020-12-25,3934
2020-12-26,3702
2020-12-27,2942
2020-12-28,2397
2020-12-29,3609
2020-12-30,3884
2020-12-31,4500
2021-01-01,3248
2021-01-02,3057
2021-01-03,3139
2021-01-04,3330
2021-01-05,4958
2021-01-06,6066
2021-01-07,7793
2021-01-08,8045
2021-01-09,7528
2021-01-10,6130
2021-01-11,4901
2021-01-12,4630
2021-01-13,6086
2021-01-14,6749
2021-01-15,6795
2021-01-16,7028
2021-01-17,5758
2021-01-18,4947
2021-01-19,5355
2021-01-20,5643
2021-01-21,5743
2021-01-22,4821
2021-01-23,4711
2021-01-24,3988
2021-01-25,2760
2021-01-26,3851
2021-01-27,3968
2021-01-28,4122
2021-01-29,3547
2021-01-30,3330
2021-01-31,2673
2021-02-01,1782
2021-02-02,2321
2021-02-03,2648
2021-02-04,2574
2021-02-05,2371
2021-02-06,2277
2021-02-07,1627
2021-02-08,1215
2021-02-09,1568
2021-02-10,1885
2021-02-11,1689
2021-02-12,1297
2021-02-13,1355
2021-02-14,1360
2021-02-15,964
2021-02-16,1305
2021-02-17,1443
2021-02-18,1540
2021-02-19,1297
2021-02-20,1228
2021-02-21,1029
2021-02-22,739
2021-02-23,1078
2021-02-24,923
2021-02-25,1064
2021-02-26,1057
2021-02-27,1208
2021-02-28,994
2021-03-01,684
2021-03-02,887
2021-03-03,1240
2021-03-04,1168
2021-03-05,1145
2021-03-06,1045
2021-03-07,1061
2021-03-08,599
2021-03-09,1125
2021-03-10,1309
2021-03-11,1315
2021-03-12,1268
2021-03-13,1317
2021-03-14,982
2021-03-15,688
2021-03-16,1130
2021-03-17,1520
2021-03-18,1492
2021-03-19,1453
2021-03-20,1517
2021-03-21,1110
2021-03-22,817
2021-03-23,1485
2021-03-24,1924
2021-03-25,1914
2021-03-26,2030
2021-03-27,2073
2021-03-28,1753
2021-03-29,1340
2021-03-30,2077
2021-03-31,2832
2021-04-01,2598
2021-04-02,2742
2021-04-03,2755
2021-04-04,2459
2021-04-05,1553
2021-04-06,2652
2021-04-07,3459
2021-04-08,3455
2021-04-09,3511
2021-04-10,3742
2021-04-11,2848
2021-04-12,2100
2021-04-13,3445
2021-04-14,4302
2021-04-15,4569
2021-04-16,4518
2021-04-17,4790
2021-04-18,4087
2021-04-19,2891
2021-04-20,4327
2021-04-21,5279
2021-04-22,5473
2021-04-23,5117
2021-04-24,5601
2021-04-25,4602
2021-04-26,3303
2021-04-27,4960
2021-04-28,5790
2021-04-29,5896
2021-04-30,4658
2021-05-01,5992
2021-05-02,5880
2021-05-03,4458
2021-05-04,4195
2021-05-05,4052
2021-05-06,4351
2021-05-07,6033
2021-05-08,7244
2021-05-09,6492
2021-05-10,4926
2021-05-11,6236
2021-05-12,7059
2021-05-13,6867
2021-05-14,6268
2021-05-15,6419
2021-05-16,5248
2021-05-17,3677
2021-05-18,5228
2021-05-19,5814
2021-05-20,5712
2021-05-21,5248
2021-05-22,5032
2021-05-23,4032
2021-05-24,2710
2021-05-25,3894
2021-05-26,4527
2021-05-27,4127
2021-05-28,3705
2021-05-29,3589
2021-05-30,2874
2021-05-31,1785
2021-06-01,2640
2021-06-02,3031
2021-06-03,2826
2021-06-04,2586
2021-06-05,2647
2021-06-06,2016
2021-06-07,1278
2021-06-08,1884
2021-06-09,2224
2021-06-10,2041
2021-06-11,1934
2021-06-12,1941
2021-06-13,1382
2021-06-14,929
2021-06-15,1418
2021-06-16,1696
2021-06-17,1550
2021-06-18,1619
2021-06-19,1509
2021-06-20,1303
2021-06-21,864
2021-06-22,1433
2021-06-23,1776
2021-06-24,1669
2021-06-25,1706
2021-06-26,1620
2021-06-27,1280
2021-06-28,989
2021-06-29,1376
2021-06-30,1810
2021-07-01,1742
2021-07-02,1773
2021-07-03,1863
2021-07-04,1479
2021-07-05,1021
2021-07-06,1657
2021-07-07,2181
2021-07-08,2239
2021-07-09,2260
2021-07-10,2453
2021-07-11,2020
2021-07-12,1492
2021-07-13,2376
2021-07-14,3171
2021-07-15,3409
2021-07-16,3420
2021-07-17,3872
2021-07-18,3093
2021-07-19,2318
2021-07-20,3747
2021-07-21,4940
2021-07-22,5390
2021-07-23,4212
2021-07-24,3596
2021-07-25,5030
2021-07-26,4679
2021-07-27,7660
2021-07-28,9625
2021-07-29,10742
2021-07-30,10814
2021-07-31,12413
2021-08-01,10236
2021-08-02,8411
2021-08-03,12149
2021-08-04,14352
2021-08-05,15353
2021-08-06,15797
2021-08-07,15825
2021-08-08,14529
2021-08-09,12141
2021-08-10,10728
2021-08-11,15994
2021-08-12,19038
2021-08-13,20492
2021-08-14,20287
2021-08-15,17887
2021-08-16,14981
2021-08-17,20104
2021-08-18,24091
2021-08-19,25335
2021-08-20,25975
2021-08-21,25633
2021-08-22,22327
2021-08-23,16926
2021-08-24,21664
2021-08-25,24414
2021-08-26,25040
2021-08-27,24305
2021-08-28,22838
2021-08-29,19339
2021-08-30,13668
2021-08-31,17713
2021-09-01,20029
2021-09-02,18206
2021-09-03,16719
2021-09-04,16003
2021-09-05,12891
2021-09-06,8229
2021-09-07,10590
2021-09-08,12384
2021-09-09,10379
2021-09-10,8868
2021-09-11,8790
2021-09-12,6485
2021-09-13,3086
2021-09-14,6644
2021-09-15,6877
2021-09-16,5490
2021-09-17,4758
2021-09-18,4557
2021-09-19,3277
2021-09-20,1912
2021-09-21,1519
2021-09-22,3651
2021-09-23,3815
2021-09-24,1667
2021-09-25,2690
2021-09-26,2097
2021-09-27,967
2021-09-28,1941
2021-09-29,1980
2021-09-30,1567
2021-10-01,1369
2021-10-02,1330
2021-10-03,874
2021-10-04,502
2021-10-05,1100
2021-10-06,1179
2021-10-07,912
2021-10-08,809
2021-10-09,790
2021-10-10,581
2021-10-11,285
2021-10-12,671
2021-10-13,739
2021-10-14,644
2021-10-15,522
2021-10-16,537
2021-10-17,381
2021-10-18,178
2021-10-19,423
2021-10-20,427
2021-10-21,310
2021-10-22,345
2021-10-23,306
2021-10-24,224
2021-10-25,145
2021-10-26,349
2021-10-27,322
2021-10-28,299
2021-10-29,321
2021-10-30,283
2021-10-31,228
2021-11-01,77
2021-11-02,239
2021-11-03,264
2021-11-04,120
2021-11-05,253
2021-11-06,235
2021-11-07,156
2021-11-08,89
2021-11-09,220
2021-11-10,207
2021-11-11,213
2021-11-12,197
2021-11-13,199
2021-11-14,135
2021-11-15,58
2021-11-16,144
2021-11-17,189
2021-11-18,165
2021-11-19,143
2021-11-20,122
2021-11-21,129
2021-11-22,22
2021-11-23,123
2021-11-24,55
2021-11-25,117
2021-11-26,115
2021-11-27,133
2021-11-28,66
2021-11-29,56
2021-11-30,134
2021-12-01,126
2021-12-02,113
2021-12-03,137
2021-12-04,123
2021-12-05,97
2021-12-06,35
2021-12-07,113
2021-12-08,140
2021-12-09,144
2021-12-10,118
2021-12-11,140
2021-12-12,114
2021-12-13,57
2021-12-14,161
2021-12-15,177
2021-12-16,142
2021-12-17,155
2021-12-18,190
2021-12-19,157
2021-12-20,72
2021-12-21,207
2021-12-22,237
2021-12-23,278
2021-12-24,260
2021-12-25,298
2021-12-26,215
2021-12-27,132
2021-12-28,347
2021-12-29,447
2021-12-30,435
2021-12-31,449
2022-01-01,466
2022-01-02,432
2022-01-03,788
2022-01-04,1094
2022-01-05,2788
2022-01-06,4486
2022-01-07,6553
2022-01-08,8701
2022-01-09,8173
2022-01-10,5734
2022-01-11,5704
2022-01-12,15587
2022-01-13,21010
2022-01-14,24054
2022-01-15,29685
2022-01-16,26842
2022-01-17,17134
2022-01-18,40477
2022-01-19,49182
2022-01-20,53723
2022-01-21,55658
2022-01-22,64249
2022-01-23,53768
2022-01-24,33165
2022-01-25,83040
2022-01-26,81333
2022-01-27,85957
2022-01-28,85060
2022-01-29,97543
2022-01-30,78473
2022-01-31,41836
2022-02-01,104520
2022-02-02,98644
2022-02-03,98205
2022-02-04,94722
2022-02-05,100921
2022-02-06,75151
2022-02-07,41653
2022-02-08,104336
2022-02-09,96408
2022-02-10,94100
2022-02-11,88421
2022-02-12,40147
2022-02-13,78233
2022-02-14,37773
2022-02-15,100079
2022-02-16,93111
2022-02-17,86501
2022-02-18,73031
2022-02-19,77100
2022-02-20,60104
2022-02-21,30046
2022-02-22,83259
2022-02-23,83984
2022-02-24,35135
2022-02-25,72187
2022-02-26,75539
2022-02-27,54162
2022-02-28,28641
2022-03-01,76998
2022-03-02,71959
2022-03-03,61037
2022-03-04,55712
2022-03-05,60155
2022-03-06,45991
2022-03-07,22567
2022-03-08,65392
2022-03-09,63416
2022-03-10,54414
2022-03-11,48945
2022-03-12,53565
2022-03-13,41927
2022-03-14,21662
2022-03-15,60579
2022-03-16,57633
2022-03-17,48592
2022-03-18,41197
2022-03-19,42770
2022-03-20,33580
2022-03-21,19555
2022-03-22,16008
2022-03-23,53425
2022-03-24,50852
2022-03-25,43748
2022-03-26,46142
2022-03-27,37613
2022-03-28,20007
2022-03-29,55201
2022-03-30,54730
2022-03-31,49664
2022-04-01,46142
2022-04-02,49567
2022-04-03,39160
2022-04-04,19865
2022-04-05,55949
2022-04-06,57634
2022-04-07,53080
2022-04-08,49264
2022-04-09,53119
2022-04-10,40991
2022-04-11,21045
2022-04-12,60760
2022-04-13,58565
2022-04-14,49658
2022-04-15,44372
2022-04-16,43883
2022-04-17,32462
2022-04-18,15593
2022-04-19,49008
2022-04-20,49407
2022-04-21,43462
2022-04-22,40237
2022-04-23,43447
2022-04-24,33855
2022-04-25,16682
2022-04-26,47689
2022-04-27,45486
2022-04-28,38667
2022-04-29,34805
2022-04-30,15785
2022-05-01,26647
2022-05-02,14983
2022-05-03,38970
2022-05-04,20860
2022-05-05,19414
2022-05-06,18821
2022-05-07,49583
2022-05-08,40152
2022-05-09,20033
2022-05-10,49834
2022-05-11,45415
2022-05-12,38604
2022-05-13,36996
2022-05-14,39537
2022-05-15,30594
2022-05-16,15329
2022-05-17,43851
2022-05-18,42257
2022-05-19,36788
2022-05-20,35041
2022-05-21,35942
2022-05-22,26838
2022-05-23,12821
2022-05-24,37885
2022-05-25,34736
2022-05-26,28169
2022-05-27,24963
2022-05-28,25039
2022-05-29,17390
2022-05-30,8375
2022-05-31,24867
2022-06-01,22874
2022-06-02,19362
2022-06-03,17939
2022-06-04,17948
2022-06-05,13368
2022-06-06,6612
2022-06-07,20119
2022-06-08,18256
2022-06-09,15918
2022-06-10,14735
2022-06-11,15442
2022-06-12,11877
2022-06-13,6027
2022-06-14,17777
2022-06-15,16542
2022-06-16,14869
2022-06-17,13894
2022-06-18,15317
2022-06-19,11652
2022-06-20,5737
2022-06-21,18270
2022-06-22,17290
2022-06-23,16113
2022-06-24,14910
2022-06-25,16538
2022-06-26,13018
2022-06-27,7204
2022-06-28,23103
2022-06-29,23836
2022-06-30,23008
2022-07-01,23131
2022-07-02,24885
2022-07-03,23269
2022-07-04,16791
2022-07-05,36167
2022-07-06,45797
2022-07-07,47961
2022-07-08,50082
2022-07-09,54993
2022-07-10,54046
2022-07-11,37124
2022-07-12,75995
2022-07-13,94466
2022-07-14,97768
2022-07-15,103287
2022-07-16,110660
2022-07-17,105550
2022-07-18,76164
2022-07-19,66725
2022-07-20,152495
2022-07-21,186209
2022-07-22,195136
2022-07-23,200937
2022-07-24,176517
2022-07-25,126535
2022-07-26,196453
2022-07-27,209657
2022-07-28,233066
2022-07-29,221409
2022-07-30,222274
2022-07-31,197750
2022-08-01,139668
2022-08-02,211040
2022-08-03,249805
2022-08-04,238710
2022-08-05,233730
2022-08-06,227536
2022-08-07,206463
2022-08-08,137826
2022-08-09,212531
2022-08-10,250377
2022-08-11,240169
2022-08-12,168793
2022-08-13,183587
2022-08-14,178329
2022-08-15,138577
2022-08-16,166174
2022-08-17,231472
2022-08-18,255508
2022-08-19,261004
2022-08-20,253248
2022-08-21,226128
2022-08-22,141018
2022-08-23,208516
2022-08-24,243451
2022-08-25,220917
2022-08-26,192377
2022-08-27,180125
2022-08-28,157788
2022-08-29,95898
2022-08-30,152529
2022-08-31,169771
2022-09-01,149868
2022-09-02,128691
2022-09-03,123072
2022-09-04,107781
2022-09-05,68019
2022-09-06,112175
2022-09-07,129771
2022-09-08,112391
2022-09-09,99474
2022-09-10,92721
2022-09-11,81470
2022-09-12,52897
2022-09-13,87548
2022-09-14,100249
2022-09-15,85851
2022-09-16,75931
2022-09-17,70964
2022-09-18,64018
2022-09-19,38048
2022-09-20,31738
2022-09-21,69821
2022-09-22,77371
2022-09-23,63849
2022-09-24,39198
2022-09-25,46766
2022-09-26,43563
2022-09-27,40490
2022-09-28,49860
2022-09-29,42228
2022-09-30,36725
2022-10-01,35428
2022-10-02,29527
2022-10-03,15189
2022-10-04,39611
2022-10-05,41094
2022-10-06,33544
2022-10-07,29877
2022-10-08,26785
2022-10-09,22731
2022-10-10,13054
2022-10-11,13149
2022-10-12,45581
2022-10-13,45735
2022-10-14,36586
2022-10-15,34992
2022-10-16,29698
2022-10-17,15400
2022-10-18,42364
2022-10-19,43596
2022-10-20,36158
2022-10-21,32017
2022-10-22,33844
2022-10-23,30871
2022-10-24,16851
2022-10-25,47794
2022-10-26,50363
2022-10-27,42593
2022-10-28,39380
2022-10-29,44552
2022-10-30,40668
2022-10-31,22404
2022-11-01,65409
2022-11-02,70475
2022-11-03,67729
2022-11-04,34109
2022-11-05,74352
2022-11-06,66584
2022-11-07,31708
2022-11-08,81555
2022-11-09,87436
2022-11-10,78487
2022-11-11,74149
2022-11-12,79622
2022-11-13,69005
2022-11-14,37603
2022-11-15,102927
2022-11-16,107269
2022-11-17,93112
2022-11-18,84608
2022-11-19,89981
2022-11-20,77774
2022-11-21,42471
2022-11-22,121633
2022-11-23,133456
2022-11-24,60137
2022-11-25,116930
2022-11-26,125395
2022-11-27,98423
2022-11-28,49175
2022-11-29,127555
2022-11-30,138540
2022-12-01,118299
2022-12-02,110043
2022-12-03,109675
2022-12-04,89640
2022-12-05,47706
2022-12-06,137361
2022-12-07,149425
2022-12-08,133192
2022-12-09,127800
2022-12-10,135829
2022-12-11,119520
2022-12-12,62411
2022-12-13,176067
2022-12-14,190949
2022-12-15,168577
2022-12-16,153982
2022-12-17,158732
2022-12-18,136483
2022-12-19,71393
2022-12-20,186613
2022-12-21,207219
2022-12-22,184438
2022-12-23,174454
2022-12-24,177974
2022-12-25,149821
2022-12-26,77365
2022-12-27,203207
2022-12-28,216926
2022-12-29,192763
2022-12-30,149665
2022-12-31,107706
2023-01-01,87280
2023-01-02,76133
2023-01-03,89861
2023-01-04,104515
2023-01-05,227229
2023-01-06,246751
2023-01-07,238927
2023-01-08,190763
2023-01-09,95448
2023-01-10,75629
2023-01-11,199119
2023-01-12,185326
2023-01-13,144499
2023-01-14,132237
2023-01-15,108245
2023-01-16,54433
